Id,Emotion,Sentence
340,Enjoyment,t phải tìm bạn trai là nhiếp ảnh gia mới được 😆
341,Enjoyment,gắn bó thời sinh viên á !
342,Enjoyment,dễ thương quá trời hà ..😂
343,Fear,per nhà mày mà nuôi thêm con này nữa là ám ảnh cuộc đời tao
344,Fear,chắc ỉa ra quần chứ đéo đùa -.-
345,Other,khi nào ổng nói được tiếng việt theo giọng của người miền tây thì tôi xin lạy
346,Other,per khi bạn đang feed mạng nhưng chị bạn lại bật hongkong1 :)))))))
347,Enjoyment,hàng xóm cũ của tao cũng thế may mà bà ý chuyển nhà rồi 😃
348,Other,thông minh mấy yêu vào cũng ngu
349,Anger,"gặp tao , tao sút cho vô mỏ"
350,Sadness,ai đó hãy tát trà sữa vào mặt tao đi 😭😭
351,Surprise,"nhiệt điện à bác , sao em không thấy nhỉ"
352,Enjoyment,muốn nhanh thì cứ phải từ từ =)))))
353,Enjoyment,lò xô kkk lâu quá không thấy
354,Anger,đề thi rồi cũng lỗi được !!! bực mình
355,Other,yêuc nhau một cách tự do . tôn trọng sư riêng tư của nhau
356,Anger,truyện đặng như kim nèk ... tụi bây còn ăn hiếp anh nữa là hối hận không kịp nhé
357,Enjoyment,mỗi tao thấy hồi xưa còn đẹp hơn à :))) bây giờ nhìn như bóng long xuyên vậy
358,Enjoyment,"dân vũng tàu có khác , toàn người nhân cách cao"
359,Disgust,áo sơ mi trắng mặc cả ngày thì nó cũng dơ và hôi vãi ýk =))
360,Surprise,ý tưởng thông minh đó con
361,Disgust,qua đoạn vd ngắn này ta sẽ nhận ra rằng cgai nghĩ mình làm cái gì cũng đúng . cái gì cũng biết nhưng thực ra đéo biết cái con cặc gì
362,Disgust,lêu lêu con đĩ chó !!! giờ thì mày biết ai là con đẻ ai là con nuôi rồi đấy :>
363,Sadness,"hút điếu cần xong nhìn nó ăn mà muốn phá cái tủ lạnh vô dụng của nhà mình quá , đéo đủ sức đựng thịt bò toàn rau ."
364,Other,nằm võng đung đưa cho muỗi khỏi đốt
365,Enjoyment,đáng yêu quá . phải thằng trai nhà tao thì nó sẽ nhẩy vào tính ôm luôn cái máy ấy về =))
366,Enjoyment,nóng như này ăn vải là thích nhất còn gì ... auto mát
367,Anger,riêng đéo gì tối nay mà khóc với lóc
368,Enjoyment,thế này đã là sướng lắm rồi =)) các b khoe biển toàn tiến với tứ ngũ quý vậy 😂
369,Other,điên lò nấu dầu
370,Disgust,nói chi nhiều . mở cái king ' s coffee mà giống đến 90 % trung nguyên thì hiểu rồi .
371,Disgust,"sờ thử lên đầu xem có sừng chưa , khéo nhắn cho thằng khác nhưng lỡ gửi cho mày đấy =)))"
372,Fear,per dã man
373,Disgust,nó xóa tang chứng rồi kiện lên trên cũng vậy thôi để luật nhân quả con cháu nó chịu
374,Enjoyment,ngôn tình đầy rẫy là một cô gái sao em lại bỏ qua bao nhiêu mơ mộng
375,Other,"ngta có câu nhất cự li nhì tốc độ , mày phải ghi xát dô , ghi nhanh nhanh nữa ,..."
376,Enjoyment,đó là khi tao muốn cắn ai đó điên cuồng :)
377,Enjoyment,"đó là lý do tại sao tao chẳng bao giờ đi hùa mấy bài bóc phốt , xem cho vui rồi lướt thôi :))"
378,Surprise,điệt cao thế lên tầm này mà chưa chết nhỉ
379,Sadness,xem video cu ̃ người cho ́ người hê ́ tao ca ̉ mă ̣ tao
380,Anger,"cảm giác này vừa bực mình , vừa bất lực , là cái vất vả của nông thôn như tao , chứ đéo thấy buồn cười đâu"
381,Disgust,"cũng có khi chơi với con gái ít vì nó quá xấu tính đéo con nào thèm chơi với nó , chỉ có thể chơi được với bọn con trai"
382,Other,thanh niên phượt rách dép =)))
383,Anger,có con cục gạch kia xong chả biết từ đâu đâu lôi ra con ai phôn chơi :))) vô lí vãi :)) hư cấu 🙃
384,Enjoyment,ai như tao nghe tự nhiên thấy ấm lòng vãi không
385,Surprise,ko hiểu sao lương cao thế nhỉ
386,Sadness,"mong ai đó sẽ không nghe được bài hát này . xin lỗi , ngàn lần xin lỗi 😢"
387,Enjoyment,hai ông bà thật hạnh phúc
388,Sadness,"trước tao cũng tin vào tình yêu chân thành lắm , niềm tin chết rồi"
389,Other,bề ngoài tỏ ra cứng cỏi nhưng bên trong con chó đó luôn khao khát tình thương từ con người
390,Other,để cưa cái bàn chớ làm gì
391,Enjoyment,nên gan ngỗng ăn ngon đó
392,Other,cúi xuống húp liền còn chờ gì nữa thằng chụp ảnh 😃
393,Disgust,mày có gặm được củ cà rốt đéo đâu mà chảnh choẹ với tao !
394,Enjoyment,ngôn lù thế hahaaa :))) đáng yêuc vãi
395,Sadness,liên quan à . cr mày đéo thương mày đâu . nó có crush mới rồi . 🙂
396,Disgust,chưa gì đã mất dạy
397,Enjoyment,"nhớ lúc trước có thằng bạn học rất giỏi và đẹp trai , lớp phó kỷ luật lạnh lùng và tàn ác không thương sót ai , ghi hết vào sổ . chỉ riêng mình là có thể giật tập nó để chép bài và đánh nó không thương tiếc mà nó vẫn im lặng , không bao giờ bị nó ghi tên vào sổ . kiểm tra quay phao nó giục bỏ và canh cô đưa bài cho chép"
398,Sadness,"thanh xuân của tớ gặp cậu rồi , 4 năm rồi , chỉ có điều vẫn là 2 đường thẳng song song"
399,Sadness,:((( tôi vẫn chưa sẵn sàng để đi học mà
400,Disgust,này thì chu cái bản mỏ ra
401,Other,có những người chỉ cảm thấy mình tồn tại khi được chửi bới .
402,Enjoyment,nhớ hồi mình làm đồng nghiệp ghê :)))
403,Anger,"ăn hại zồi bắt em gái nó dọn , quá đáng lắm rồi đó"
404,Disgust,người đàn ông quái vật
405,Disgust,xuống thì xuống đựợc nhưng mà bọn nó bảo là xã hội đen nó theo dõi nó giết thì là xạo lờ . bọn nó dựng chuyện câu thích đấy
406,Surprise,"phim giật gân , hấp dẫn đấy"
407,Surprise,diệu kì quá
408,Fear,"per đang định đi chụp , thấy cái này sợ quá đéo đi nữa"
409,Sadness,per ơ tao còn chưa kịp đến bắt tay mà :((
410,Disgust,vẫn là cái thói đối tốt với người ngoài và làm đau người thân quanh mình !
411,Enjoyment,"tháng 10 đến rồi , em đừng buồn nữa nhé ❤"
412,Other,nó không cắn đâu đó là chó thường còn chủng tộc ngáo này thì không biết
413,Enjoyment,"còn tao nhé , hơi bị ngon"
414,Enjoyment,per nên mày hãy yên tâm về mấy con nhện nhé :)))
415,Other,hãy cứ hết mình đi ... chứ chả bít được ngày mai ra sao cả ))
416,Enjoyment,"haha ,,, sao không kêu tao .."
417,Enjoyment,per bếp thần thánh thời sanh viên 😂😂😂
418,Other,lỗi tại thằng bán hàng
419,Other,môi trường tù chưa cho nó cái nó cần rồi
420,Enjoyment,hahaa nhìn mắc cười vãi per
421,Enjoyment,rất cá tính :v
422,Enjoyment,"kéo bấc mòn cả tay , ma nghĩ lai thấy nhớ thời đó nhỉ 😂😂😂"
423,Sadness,"động lực là tình yêu . vì sau khi chia tay , tôi đã thấy mình vô dụng trong một thời gian dài ."
424,Enjoyment,chủ tịch giả vờ luyện vỏ và cái kết sấp mặt luôn haha
425,Sadness,chồng tương lai lại nuôi vợ thằng khác
426,Anger,gặp em tao mà bị đánh như thế thì mấy đứa đánh có mà chuyển trường trốn luôn hoặc quỳ lạy van xin tha :)
427,Enjoyment,bư ̃ anh trước mới nghi ̉ xong tao đi đa ̀ nă ̃ người chơi 3 nga ̀ y xong vê ̀ kho ̉ em re =)))
428,Other,per mẹ mà có cái này thì ngồi nói chuyện cả ngày
429,Disgust,k phải tôi lùn mà . mấy người kia bị bệnh thừa xương ;()
430,Enjoyment,"vừa lắm ... cho chừa nè , ahihi đồ ngốc 😊😊😊"
431,Other,bài học ý thức mất rất nhiều thời gian và phải cần có biện pháp mạnh .
432,Disgust,tao ở chợ viềng 2 nam trực đây . đông vãi chưởng . chen nhau suýt chết bẹp
433,Disgust,tát thẳng đi ... tởm
434,Enjoyment,per ông xã xem khúc nó kéo xe chở con chó nè :)) đọc bình luận hài hước ghê
435,Surprise,ủa sao vụ này vong đòi có 5 triệu thôi á . không bị tù tội gì sao ?
436,Other,cái bài hát dẫn đến mối tình đầu tiên
437,Disgust,"muốn tiếp thu giáo dục phương tây thì tiếp thu cho trọn , đừng nhặt vụn vặt làm sai lệch một thế hệ tương lai ."
438,Disgust,nhảm vãi lồn
439,Other,con gái không phải là người tham tiền tham trai đẹp tham này nọ đâu nhé ... chẳng qua họ cần tìm chỗ dựa thôi .
440,Sadness,chỉ thấy dễ thương và xinh khi crush thôi khi hết crush thì có cười nấy cười nữa cũng không có cảm giác
441,Disgust,hic không phải tiền của mình nên có vẻ nhiều người xem nhẹ quá nhỉ . 580k to mà công sức các thứ các thứ của chủ thớt chứ có đi xin đâu ? :))
442,Other,thế mày thích hiền lành dài dài rồi bùng phát hay mày thích ngày đéo nào nó cũng nổi điên :))
443,Other,người anh em thiện lành nhận bao tiền để viết bài này ?
444,Sadness,chời ơi mới chụp răng 2 bữa trước về không ngủ được tới nay luôn
445,Disgust,xấu vãi đái còn bày đặt
446,Other,sao tao lại cười khi mà mẹ thằng này sắp nát mông đến nơi nhỉ 🙂
447,Sadness,đau lòng qá huhu
448,Sadness,23 năm rồi tao còn chưa được đi chơi với bồ trung thu lần nào cả :(
449,Enjoyment,thật dume nge yêu thương gì đâu :)) bắn tim bụp bụp
450,Enjoyment,a đến sớm hơn nhé 😆
451,Other,"đúng luật thị trường cung - cầu thôi . ai cấm các bác ra phố gửi xe , hoặc đi taxi đến . chui vào viện làm gì ?"
452,Enjoyment,"đầu mùa mà trên nhà tôi vải có 15k / 1kg , ăn tã từ đầu mùa 😊"
453,Disgust,nhìn ảnh này tao lại thấy buồn nôn
454,Sadness,chờ có người giận mà không được
455,Surprise,ông này nội công thâm hậu nhảy lên gẫy cả cây thế là té đít dầm xuống đất . tại hạ bái phục
456,Disgust,và sau đó nó bảo đùa đấy và loan tin mày tỏ tình nó cho tất cả mng biết 🙂
457,Enjoyment,yêu nghề chuẩn mẹ rồi
458,Fear,dạ cho em hỏi cái đường này ở đâu z ạ . để em đéo tới đây ạ . đm bước cái chắc tét háng
459,Disgust,"cái ly hương nó cũng cướp , hết biết nói gì luôn . 😑"
460,Disgust,nhiều người ý thức kém quá
461,Enjoyment,khi nào đón bé về nhà nhớ chụp đăng lên cho bọn tao coi dung nhan thằng bé nha :vv
462,Enjoyment,không liên quan nhưng sao mị thấy mông boss cong quá đi aaaa ~
463,Enjoyment,nghe hay
464,Surprise,per ác quỷ ma sơ hay dã man ý
465,Disgust,ôi đất nước tôi ... hở ra là bàn thờ bát nhang 😳😳😳
466,Enjoyment,bây giờ mình 56 tuổi vẫn dùng để bắn bọn chuột neo dình sơi chim cảnh rất hiệu quả các bạn ơi
467,Enjoyment,chuẩn bài =))))
468,Anger,per đừng có mà thân thiết với tôi
469,Disgust,và đéo tin được đứa nào
470,Disgust,thằng ăn ốc đéo phải trả tiền thằng đổ vỏ lại phải trả tiền …
471,Enjoyment,per có ai còn nhớ thời đầu băng xem đi xem lại xuốt ngày không kakak
472,Other,góc chụp đẹp và ánh sáng tốt
473,Disgust,"cái đoạn bôi son nhìn vớ vẫn , nghĩ sao dùng xong mà nó còn nguyên . vớ vẫn"
474,Enjoyment,cảm giác vừa uống cà phê vừa hát mỗi ngày bình an lắm
475,Other,"nên chọn thằng không học bổng , vì thằng đó giàu hơn"
476,Fear,một đứa sợ sấm chớp không thích hình ảnh này huhu
477,Disgust,"66 năm trời chỉ để ghi danh kỷ lục dzớ dzẩn , nhìn gớm chết với bất tiện vãi chớ sướng ít chi chịu đựng mấy chục năm trời"
478,Other,cảm thấy nhột đít
479,Other,may thằng đó không nghe lời vợ
480,Fear,vãi :)) độc đấy
481,Enjoyment,con mong cụ cuộc sống sẽ tốt hơn 😔
482,Other,nóng cỡ nào nhĩ
483,Other,dậy đi học đi con ơi
484,Surprise,ông luôn biết trước thời đại . 66 năm trước . ông biết mình sẽ được lập kỷ lục thế giới về bộ móng tay này . ông giỏi thật
485,Enjoyment,"tao khuyên mày , bật lên mr . siro lên mà nghe , đời sẽ vui vẻ hơn =))"
486,Anger,ngon xuống đây nói chuyện tử tế với bố như 2 con chó xem
487,Sadness,nếu không gãy đó la 1 bài quyền đẹp rồi :((
488,Surprise,phải giăt ba tay luôn hả
489,Sadness,chưa kịp đặt chân đến chiêm ngưỡng nó ...
490,Disgust,nhiều khi làm ks gặp khách hai lúa mệt vê ca lờ . ks không cho mang đồ sống đồ hải sản lên phòng . tụi nó giấu trong balo mang lên tới khi lên dọn nhìn cái phòng muốn mửa
491,Anger,lũ này cho nghỉ việc thay người khác còn bao nhiêu người đi xin việc kìa xử phạt thì trẻ cũng đã ăn rồi lũ mất nhân tính
492,Disgust,"chắc lại thấy tự hào , tưởng thế mà hay"
493,Other,vẫn hay mà
494,Anger,ghét vãi nồi
495,Enjoyment,"bức ảnh rất đẹp , cám ơn người chụp hình"
496,Sadness,xem đi xem lại mà khóc sướt mướt 😭😭😭
497,Enjoyment,tình yêu là một thứ cao đẹp hãy trân trọng nó .
498,Enjoyment,chủ kiểu lol gì đáng yêu vãi ?? :))))
499,Enjoyment,"hai đứa chia tay , tao nhảy vào ."
500,Surprise,ho mạnh có thể làm gãy xương sườn cơ à ??
501,Enjoyment,"per thế là 2 anh này chưa gặp tao rồi , =)) 7km nhé"
502,Anger,có người yêu thì lo giữ đi mấy má khoe khoe cái buồi dume xem mà thấy tức vãi :''>
503,Anger,"điều tra nguyên nhân cái cái gì . vì hám lời nên coi thường cong nhân , răn đe chỉ béo tiền đút lót"
504,Disgust,ngu rốt là phải trả giá bằg tiền mặt . tàu nó chạy trên thanh day sắt chứ đánh lái cái gì
505,Sadness,buồn hơn thế là đối với 1 đứa con gái năm lần bảy lượt chủ động ib họ nhưng vẫn bị xem thường ... xem mà đéo rep ... hết thương là vậy ... 😞😞😞
506,Fear,tao lại sợ mày quá cơ :)))
507,Enjoyment,tự nhiên thấy cảm động hic
508,Anger,điên mẹ rồi
509,Disgust,tôi cũng đến chịu mấy thanh niên có cái suy nghĩ muốn làm con mèo .
510,Enjoyment,rất là hâm mộ chị với tài nấu ăn ngon lại có nét dịu dàng rất tự nhiên thật sự thích ❤️
511,Disgust,nó bất ổn của đủ hay sao mà nhập thêm lũ chống đối vào nữa :3
512,Other,ko nên vì tất cả do người lớn sắp đặt cả không nên cho lớp trẻ mất newnf móng
513,Enjoyment,nhìn mặt ông thầy cay lắm :))
514,Other,mình đang bận việc mà có đứa nhây vậy là có đứa toè mỏ 😚
515,Enjoyment,nụ cười của tôi thiên thần vãi
516,Enjoyment,số hưởng rồi tránh sao nổi :d
517,Sadness,"t xin nhắc lại một lần nữa , đây là một câu chuyện buồn nhé"
518,Anger,"không có người làm thì cần đéo gì phải dọn , dume thấy thằng nào dải đập chết cụ nó đi"
519,Enjoyment,"đi hát văn nghệ cho trường nguyên cấp 1 , kiếm được kha khá . cấp 2 vỡ giọng , khỏi hát 🤣"
